Original_File,Status,Reason
frame_0249.jpg,REMOVED,BLURRY
frame_0250.jpg,REMOVED,BLURRY
frame_0251.jpg,REMOVED,BLURRY
frame_0252.jpg,REMOVED,BLURRY
frame_0253.jpg,REMOVED,BLURRY
frame_0254.jpg,REMOVED,BLURRY
frame_0255.jpg,REMOVED,BLURRY
frame_0256.jpg,REMOVED,BLURRY
frame_0257.jpg,REMOVED,BLURRY
frame_0258.jpg,REMOVED,BLURRY
frame_0259.jpg,REMOVED,BLURRY
frame_0260.jpg,REMOVED,BLURRY
frame_0261.jpg,REMOVED,BLURRY
frame_0262.jpg,REMOVED,BLURRY
frame_0263.jpg,REMOVED,BLURRY
frame_0264.jpg,REMOVED,BLURRY
frame_0265.jpg,REMOVED,BLURRY
frame_0266.jpg,REMOVED,BLURRY
frame_0267.jpg,REMOVED,BLURRY
frame_0268.jpg,REMOVED,BLURRY
frame_0269.jpg,REMOVED,BLURRY
frame_0270.jpg,REMOVED,BLURRY
frame_0271.jpg,REMOVED,BLURRY
frame_0272.jpg,REMOVED,BLURRY
frame_0273.jpg,REMOVED,BLURRY
frame_0274.jpg,REMOVED,BLURRY
frame_0275.jpg,REMOVED,BLURRY
frame_0276.jpg,REMOVED,BLURRY
frame_0277.jpg,REMOVED,BLURRY
frame_0278.jpg,REMOVED,BLURRY
frame_0279.jpg,REMOVED,BLURRY
frame_0280.jpg,REMOVED,BLURRY
frame_0281.jpg,REMOVED,BLURRY
frame_0282.jpg,REMOVED,BLURRY
frame_0283.jpg,KEPT,GOOD
frame_0284.jpg,REMOVED,DUPLICATE
frame_0285.jpg,REMOVED,DUPLICATE
frame_0286.jpg,REMOVED,DUPLICATE
frame_0287.jpg,REMOVED,BLURRY
frame_0288.jpg,REMOVED,BLURRY
frame_0289.jpg,REMOVED,BLURRY
frame_0290.jpg,REMOVED,DUPLICATE
frame_0291.jpg,REMOVED,BLURRY
